iter	Passed	Remaining
2559	20104	15235
2560	20111	15227
2561	20118	15218
2562	20125	15209
2563	20131	15200
2564	20138	15192
2565	20145	15183
2566	20151	15174
2567	20158	15166
2568	20164	15156
2569	20171	15148
2570	20179	15140
2571	20185	15131
2572	20192	15122
2573	20199	15114
2574	20205	15104
2575	20212	15096
2576	20219	15088
2577	20227	15080
2578	20233	15071
2579	20239	15062
2580	20246	15053
2581	20252	15044
2582	20259	15035
2583	20265	15026
2584	20271	15017
2585	20278	15009
2586	20285	15000
2587	20292	14991
2588	20298	14982
2589	20305	14974
2590	20311	14965
2591	20318	14956
2592	20325	14948
2593	20337	14943
2594	20345	14935
2595	20352	14927
2596	20358	14918
2597	20365	14909
2598	20371	14900
2599	20378	14891
2600	20384	14883
2601	20391	14874
2602	20397	14865
2603	20404	14856
2604	20410	14847
2605	20417	14839
2606	20425	14831
2607	20431	14822
2608	20438	14814
2609	20445	14805
2610	20451	14796
2611	20457	14787
2612	20464	14778
2613	20470	14769
2614	20477	14760
2615	20483	14751
2616	20489	14742
2617	20496	14733
2618	20502	14725
2619	20508	14715
2620	20515	14707
2621	20522	14698
2622	20528	14690
2623	20535	14681
2624	20565	14689
2625	20579	14686
2626	20589	14680
2627	20597	14672
2628	20605	14664
2629	20611	14655
2630	20618	14646
2631	20624	14637
2632	20631	14629
2633	20638	14620
2634	20646	14612
2635	20652	14604
2636	20658	14595
2637	20665	14586
2638	20671	14577
2639	20678	14568
2640	20684	14560
2641	20691	14551
2642	20698	14543
2643	20704	14534
2644	20711	14525
2645	20718	14517
2646	20725	14508
2647	20732	14500
2648	20738	14490
2649	20744	14482
2650	20752	14474
2651	20758	14465
2652	20764	14456
2653	20773	14449
2654	20781	14441
2655	20789	14433
2656	20795	14424
2657	20802	14415
2658	20809	14407
2659	20816	14399
2660	20824	14391
2661	20831	14382
2662	20836	14373
2663	20843	14364
2664	20850	14356
2665	20860	14350
2666	20866	14341
2667	20874	14333
2668	20882	14325
2669	20889	14317
2670	20896	14309
2671	20902	14300
2672	20910	14292
2673	20916	14283
2674	20923	14274
2675	20930	14266
2676	20936	14257
2677	20942	14248
2678	20952	14242
2679	20959	14233
2680	20966	14225
2681	20972	14216
2682	20979	14207
2683	20985	14199
2684	20992	14190
2685	21000	14182
2686	21008	14174
2687	21016	14167
2688	21023	14158
2689	21029	14150
2690	21036	14141
2691	21042	14132
2692	21050	14125
2693	21057	14116
2694	21064	14108
2695	21071	14099
2696	21077	14090
2697	21084	14082
2698	21090	14073
2699	21098	14065
2700	21104	14056
2701	21110	14047
2702	21117	14039
2703	21123	14029
2704	21129	14021
2705	21135	14012
2706	21142	14003
2707	21148	13994
2708	21154	13985
2709	21161	13977
2710	21169	13969
2711	21176	13961
2712	21184	13953
2713	21190	13945
2714	21197	13936
2715	21204	13928
2716	21210	13919
2717	21217	13910
2718	21223	13901
2719	21229	13892
2720	21236	13884
2721	21243	13876
2722	21250	13868
2723	21257	13859
2724	21263	13850
2725	21270	13841
2726	21276	13833
2727	21283	13824
2728	21289	13815
2729	21295	13806
2730	21302	13798
2731	21310	13791
2732	21317	13782
2733	21323	13773
2734	21330	13765
2735	21338	13757
2736	21344	13748
2737	21351	13740
2738	21358	13732
2739	21365	13723
2740	21371	13714
2741	21377	13705
2742	21384	13697
2743	21391	13689
2744	21397	13680
2745	21404	13671
2746	21410	13662
2747	21417	13654
2748	21423	13646
2749	21430	13637
2750	21436	13628
2751	21442	13619
2752	21449	13611
2753	21455	13602
2754	21462	13594
2755	21469	13585
2756	21475	13577
2757	21482	13568
2758	21488	13559
2759	21494	13550
2760	21500	13541
2761	21507	13533
2762	21514	13525
2763	21524	13518
2764	21531	13510
2765	21537	13501
2766	21544	13493
2767	21550	13484
2768	21556	13475
2769	21564	13467
2770	21570	13459
2771	21577	13450
2772	21583	13442
2773	21589	13433
2774	21596	13424
2775	21603	13416
2776	21610	13408
2777	21617	13400
2778	21624	13391
2779	21630	13383
2780	21637	13374
2781	21644	13366
2782	21650	13357
2783	21656	13348
2784	21663	13340
2785	21670	13332
2786	21677	13323
2787	21683	13315
2788	21690	13306
2789	21696	13297
2790	21702	13289
2791	21708	13280
2792	21716	13272
2793	21722	13263
2794	21729	13255
2795	21736	13246
2796	21742	13238
2797	21749	13229
2798	21755	13221
2799	21763	13213
2800	21770	13205
2801	21777	13196
2802	21784	13188
2803	21791	13180
2804	21800	13173
2805	21809	13166
2806	21815	13157
2807	21822	13149
2808	21831	13142
2809	21837	13133
2810	21844	13125
2811	21853	13118
2812	21860	13110
2813	21867	13101
2814	21874	13093
2815	21882	13085
2816	21888	13077
2817	21895	13068
2818	21902	13060
2819	21909	13052
2820	21915	13043
2821	21922	13035
2822	21929	13027
2823	21936	13018
2824	21943	13010
2825	21951	13002
2826	21959	12995
2827	21967	12988
2828	21976	12980
2829	21984	12973
2830	21992	12965
2831	21999	12957
2832	22006	12949
2833	22014	12941
2834	22021	12933
2835	22028	12925
2836	22034	12916
2837	22041	12907
2838	22048	12899
2839	22054	12890
2840	22060	12882
2841	22066	12873
2842	22073	12865
2843	22079	12856
2844	22086	12847
2845	22093	12840
2846	22100	12831
2847	22108	12824
2848	22115	12815
2849	22123	12808
2850	22131	12800
2851	22139	12792
2852	22147	12785
2853	22154	12777
2854	22162	12769
2855	22169	12761
2856	22175	12752
2857	22181	12744
2858	22188	12735
2859	22195	12727
2860	22202	12719
2861	22208	12710
2862	22214	12701
2863	22220	12692
2864	22226	12684
2865	22233	12676
2866	22240	12667
2867	22247	12659
2868	22254	12651
2869	22263	12644
2870	22270	12636
2871	22278	12628
2872	22286	12621
2873	22295	12614
2874	22303	12606
2875	22310	12598
2876	22317	12589
2877	22323	12581
2878	22330	12572
2879	22336	12564
2880	22343	12555
2881	22350	12547
2882	22359	12540
2883	22365	12532
2884	22372	12524
2885	22380	12516
2886	22386	12507
2887	22392	12498
2888	22401	12491
2889	22407	12483
2890	22414	12474
2891	22420	12466
2892	22427	12457
2893	22434	12449
2894	22441	12441
2895	22448	12433
2896	22455	12425
2897	22461	12416
2898	22468	12408
2899	22475	12400
2900	22482	12392
2901	22490	12384
2902	22498	12376
2903	22505	12368
2904	22514	12361
2905	22520	12353
2906	22527	12344
2907	22534	12336
2908	22541	12328
2909	22549	12320
2910	22556	12312
2911	22563	12304
2912	22570	12296
2913	22577	12288
2914	22585	12280
2915	22593	12273
2916	22600	12264
2917	22606	12256
2918	22613	12247
2919	22619	12239
2920	22628	12232
2921	22635	12224
2922	22641	12215
2923	22648	12207
2924	22655	12199
2925	22662	12190
2926	22670	12183
2927	22676	12174
2928	22683	12166
2929	22689	12157
2930	22696	12149
2931	22703	12141
2932	22709	12133
2933	22715	12124
2934	22721	12115
2935	22728	12107
2936	22735	12099
2937	22741	12090
2938	22748	12082
2939	22754	12074
2940	22761	12065
2941	22767	12056
2942	22773	12048
2943	22779	12039
2944	22788	12032
2945	22795	12024
2946	22802	12016
2947	22809	12008
2948	22815	11999
2949	22821	11991
2950	22828	11982
2951	22835	11974
2952	22842	11966
2953	22848	11958
2954	22855	11949
2955	22861	11941
2956	22868	11933
2957	22875	11924
2958	22881	11916
2959	22887	11907
2960	22894	11899
2961	22900	11891
2962	22907	11882
2963	22913	11874
2964	22920	11865
2965	22926	11857
2966	22932	11848
2967	22939	11840
2968	22947	11832
2969	22955	11825
2970	22962	11817
2971	22970	11809
2972	22977	11801
2973	22983	11793
2974	22990	11784
2975	22996	11776
2976	23002	11767
2977	23008	11759
2978	23015	11751
2979	23022	11742
2980	23028	11734
2981	23034	11725
2982	23041	11717
2983	23047	11709
2984	23054	11700
2985	23061	11692
2986	23069	11685
2987	23078	11678
2988	23088	11671
2989	23099	11665
2990	23109	11659
2991	23119	11652
2992	23127	11645
2993	23141	11640
2994	23155	11635
2995	23165	11629
2996	23174	11621
2997	23184	11615
2998	23193	11608
2999	23201	11600
3000	23210	11593
3001	23223	11588
3002	23235	11582
